id;message;sentiment
1;We need to be vaccinated to protect all person around us.;1
3;Negative ;0
2;it is a pleasure to see how the govement are working for our help. I thing the vaccination is good for all of us.;1
6;I do not know what to think about vaccines as we are not even sure if they work against all the different forms of covid 19.;0
4;The most popular vaccine that i know is Moderna and it is work.so get vaccinated;1
7;This vaccination is not without risk ;0
5;Of course we need to be vaccinated if we want to stop covid;1
8;no idea, difficult to say if i am going to get my shot.;0
11;It is more beneficial to get vaccinated early. It saves lives.;1
9;i am going to inform all the country about the Pfizer vaccine. It is not a good vaccine for all of us. ;0
13;Pfizer has Negative effects but everything gets better with time. You have to get vaccinated.;1
10;i am going to get vaccinated in 5 years. Time to observe the harmful effects on others.;0
15;Look at those people who are dying. Vaccines save lives.;1
12;I am afraid of the Astra Astrazeneka vaccine because of the controversy. I am not going to vaccinate myself with this one.;0
16;To stop hearing about the coronavirus, i am going to get vaccinated and encourage others to do so.;1
14;There will certainly be side effects. There has not been enough testing.;0
21;All vaccines against Covid 19 are saving human lives ;1
17;I  can not stand the side effects, so I would never get vaccinated.;0
23;let us just let everyone be free to vaccinate or not.;1
18;Vaccination does not protect, nor does not being vaccinated.;0
30;Who am I not to get vaccinated when Merkel has already done so?;1
19;The Vaccin is not stable and has many inconvenients.;0
31;are you a doctor? stop propagation and go vaccine.;1
20;Vaccination is good but since we can cure naturally i am not a big supporter.;0
33;ok! i would think about all covid vaccine and i would take a decision.;1
22;The risks I would take by getting vaccinated are greater than the risks I would take by not getting vaccinated. But I understand that these risks vary from person to pperson hence my Neutrality. ;0
34;Sides effects of the vaccine are tolerated than the sickness itself ;1
24;Pfizer, Moderna, BioNtech will kill in the future like the coronavirus.;0
35;let us save our life by getting the vaccine ;1
25;I am against the corona vaccine because I am not sure that it corresponds to all the variants of the disease;0
36;Corona virus is like others viruses so i go for the vaccine ;1
26;It  does not matter if i get vaccinated or not. ;0
39;It should be the same vaccines for all People in the World;1
27;Joe Biden is excited about vaccination. he is been injected with water. No, Iwill notbe vaccinated.;0
40;Everyone should have the opportunity to get the vaccine. And those who have a highly risked job as firefighters, should be first! ;1
28;The vaccine story only helps the pharmaceutical companies to fill their coffers. They do not think about our lives.;0
41;Positive because i think everyone on this Earth should contribute. ;1
29;I am very suspicious. Maybe vaccines help, maybe they do not.;0
44;That is great, just think about the disease and all who dead. The vaccine is good. ;1
32;it is a pleasure to save more than one live.Please preserve yourself and do not take any vaccine.;0
45;All Vaccines are useful, let us get vaccinated;1
37;Pfizer, no no no. ;0
49;I congratulate the whole scientific community and the vloggers who are fighting for the promotion and awareness of covid 19 vaccines. It is good to promote.;1
38;I do not want to be vaccinated because the vaccines were made quickly so there was no time to test them on a large scale. Moreover the debate about the side effects is frightening.;0
50;Covid 19 vaccines are efficient to stop the virus. I will get vaccinated. ;1
42;I do not see what difference it will make. We will continue to be confined, believe me, so there is no point in taking them.;0
51;I think this is the best solution if you want a normal life after all. COVID-19 is a virus, so I am pretty sure there will never be a drug for it. So a vaccine is our best option. ;1
